state,disaster_count,mean_obligated_cost,incident_diversity,disaster_count_norm,mean_obligated_cost_norm,incident_diversity_norm,composite_risk_score,risk_tier
AK,66,25832152.74395349,8,0.19169329073482427,0.011254364038860001,0.6,0.2011790619094737,2
AL,54,32101330.206744183,5,0.15335463258785942,0.014411297033774495,0.3,0.1271063718486536,1
AR,49,31593827.95875,7,0.13738019169329074,0.014155737097691122,0.5,0.16061437151639274,2
AS,10,18340223.216250002,5,0.012779552715654952,0.007481696944658311,0.3,0.0681044998641253,1
AZ,88,32726260.938181814,6,0.26198083067092653,0.014725989743834308,0.4,0.19068272816590437,2
CA,319,439325136.254717,11,1.0,0.21947460514042313,0.9,0.6677898420561693,3
CO,86,167201666.81857142,6,0.25559105431309903,0.08244298265845873,0.4,0.2152136147886231,3
CT,30,65335895.32545455,6,0.07667731629392971,0.031147032434090755,0.4,0.1231297394912082,1
DC,20,70702428.43875,6,0.04472843450479233,0.03384942609804712,0.4,0.1114311442411358,1
DE,16,23521507.40357143,4,0.03194888178913738,0.010090805891416779,0.2,0.056815875072221675,1
FL,109,420828780.35260004,9,0.329073482428115,0.21016050347722318,0.7,0.35569359436213527,3
FM,6,3482737.82,2,0.0,0.0,0.0,0.0,1
GA,49,136344090.56,8,0.13738019169329074,0.06690421362345197,0.6,0.2017137621266971,2
GU,14,18376916.278,6,0.025559105431309903,0.007500174254961063,0.4,0.0932237118745084,1
HI,48,62443867.775714286,9,0.134185303514377,0.029690711050916415,0.7,0.20555040582611733,2
IA,45,63011824.86488372,8,0.12460063897763578,0.02997671387746528,0.6,0.18183094114204043,2
ID,39,18198259.173125,6,0.10543130990415335,0.007410208942525207,0.4,0.12513660753867145,1
IL,31,114386915.21913043,7,0.07987220447284345,0.05584736737525887,0.5,0.15428782873924093,2
IN,28,20622013.40590909,7,0.07028753993610223,0.00863072467277121,0.5,0.1315673058435494,1
KS,70,34047658.519600004,8,0.20447284345047922,0.015391398188393213,0.6,0.20794569665554896,2
KY,62,41069562.91957447,10,0.17891373801916932,0.018927377480570853,0.8,0.2391364461998961,3
LA,66,620123541.5435715,11,0.19169329073482427,0.31051819969042216,0.9,0.3808845961700986,3
MA,37,144662991.45642856,9,0.09904153354632587,0.0710933138486781,0.7,0.2080539389580016,3
MD,23,143801930.0115,7,0.054313099041533544,0.07065971417754459,0.5,0.14998912528763125,1
ME,44,16451948.012857145,8,0.12140575079872204,0.006530829254526564,0.6,0.17117463202129946,2
MI,19,141552146.32166666,9,0.04153354632587859,0.06952680377518157,0.7,0.18442414004042407,2
MN,40,34534278.49939394,8,0.10862619808306709,0.015636442562924645,0.6,0.16970505625839669,2
MO,55,53398617.68478261,6,0.15654952076677317,0.02513584741389244,0.4,0.15267414727226625,1
MP,19,46122738.556,4,0.04153354632587859,0.021471975554307406,0.2,0.06520220875207441,1
MS,58,90158112.70229167,8,0.16613418530351437,0.043646611128261986,0.6,0.20391231857271053,2
MT,85,8603218.016538462,8,0.2523961661341853,0.002578490237068954,0.6,0.2219898625485017,3
NC,51,180054647.60625,10,0.14376996805111822,0.08891528295183124,0.8,0.25307410040117984,3
ND,48,21805483.799999997,8,0.134185303514377,0.009226677931039148,0.6,0.17736479257816645,2
NE,59,28062660.343958333,9,0.16932907348242812,0.012377567693511103,0.7,0.21268265647037568,3
NH,46,13211424.857857142,9,0.12779552715654952,0.004899017979519199,0.7,0.19307781805442747,2
NJ,37,221839041.96206895,6,0.09904153354632587,0.10995640581002586,0.4,0.1635991757425407,2
NM,103,51005592.216153845,5,0.30990415335463256,0.023930805587524688,0.3,0.1935339835768629,2
NV,83,13099818.083076922,6,0.24600638977635783,0.0048428168092937785,0.4,0.18033968263426067,2
NY,68,712976650.8079311,12,0.19808306709265175,0.35727569635675066,1.0,0.422143505379761,3
OH,30,49559814.597272724,7,0.07667731629392971,0.023202763815626436,0.5,0.13995203204382245,1
OK,206,30624772.309841268,8,0.6389776357827476,0.013667755417461824,0.6,0.38105815648008373,3
OR,120,109474399.5136,7,0.36421725239616615,0.05337360059949414,0.5,0.26703634119826414,3
PA,28,121226086.17428571,7,0.07028753993610223,0.05929132865635802,0.5,0.15183154743698413,1
PR,32,1989327059.7899997,7,0.08306709265175719,1.0,0.5,0.533226837060703,3
RI,21,75262110.96083333,5,0.04792332268370607,0.03614551873312338,0.3,0.09362753656673178,1
SC,41,87906572.33454546,8,0.11182108626198083,0.04251281612588606,0.6,0.18173356095514676,2
SD,67,11146259.880714286,8,0.19488817891373802,0.0038590749415401853,0.6,0.19949890154211128,2
TN,66,41884535.79061224,10,0.19169329073482427,0.0193377685983546,0.8,0.2444124237332716,3
TX,214,562666546.99525,10,0.6645367412140575,0.28158491730133595,0.8,0.5384486634061574,3
UT,48,44199967.69916666,6,0.134185303514377,0.020503737089911614,0.4,0.14187561624171546,1
VA,47,63912129.87064516,11,0.13099041533546327,0.03043007519879399,0.9,0.24456819621370293,3
VI,18,1857740085.4099998,5,0.038338658146964855,0.93373751762703,0.3,0.44883047030959794,3
VT,44,30784352.604615383,7,0.12140575079872204,0.01374811433231161,0.5,0.15406154605241346,1
WA,158,108796452.61264706,7,0.48562300319488816,0.053032210847310336,0.5,0.3154620856168794,3
WI,25,47134938.58565217,6,0.06070287539936102,0.021981683197778698,0.4,0.11307382343885591,1
WV,52,24338285.95,11,0.14696485623003194,0.010502106282586568,0.9,0.24298678500504745,3
WY,38,11991186.141111111,5,0.10223642172523961,0.004284549512255095,0.3,0.10260838849499788,1
